"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL23238";"";"None";"326.40";"0";"0.81";"24";"NS(=O)(=O)c1ccc(CNS(=O)(=O)c2ccccc2)cc1";"Ki";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"22.67";"0.48";"6.59";"6.96";"0";"CHEMBL658039";"Inhibition of human cytosolic isozyme Carbonic anhydrase II at 20 degree C";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149322";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";"";"";"40.0"
"CHEMBL51668";"";"None";"383.45";"0";"-0.05";"1";"NS(=O)(=O)c1ccc(CCNC(=O)c2ccc(S(N)(=O)=O)cc2)cc1";"Ki";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"21.65";"0.45";"8.35";"5.56";"1";"CHEMBL657847";"Inhibitory activity against human carbonic anhydrase II (hCA II)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136164";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"5.0"
"CHEMBL574780";"";"None";"304.38";"0";"0.43";"6";"NS(=O)(=O)c1nnc(NC(=O)Cc2cccs2)s1";"Ki";"'='";"51.0";"nM";"7.29";"";"";"UO_0000065";"23.96";"0.55";"6.86";"6.34";"1";"CHEMBL1046598";"Inhibition of human recombinant cytosolic carbonic anhydrase 2 by stopped-flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154094";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";"";"";"";"51.0"
"CHEMBL582965";"";"None";"291.33";"0";"0.91";"7g";"NS(=O)(=O)c1ccc(NC(=O)Cc2ccccn2)cc1";"Ki";"'='";"69.0";"nM";"7.16";"";"";"UO_0000065";"24.58";"0.49";"6.25";"7.01";"1";"CHEMBL1046598";"Inhibition of human recombinant cytosolic carbonic anhydrase 2 by stopped-flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1154094";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";"";"";"";"69.0"
"CHEMBL82813";"";"None";"229.28";"0";"1.25";"21";"NS(=O)(=O)c1cc2cc(O)ccc2s1";"IC50";"'='";"6.2";"nM";"8.21";"";"";"UO_0000065";"35.80";"0.80";"6.96";"10.21";"0";"CHEMBL656570";"50% inhibition of human carbonic anhydrase II assayed by CO2 hydration catalyzed by human erythrocytes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124376";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"6.2"
"CHEMBL266240";"";"None";"285.73";"0";"-0.78";"8";"Nc1cc(Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O";"Ki";"'='";"75.0";"nM";"7.12";"";"";"UO_0000065";"24.94";"0.61";"7.90";"4.87";"1";"CHEMBL2341289";"Inhibition of human esterase activity of carbonic anhydrase 2 using 4-nitrophenylacetate as substrate after 3 mins by spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331399";"1";"Scientific Literature";"Bioorg Med Chem";"2013";"None";"";"";"";"0.075"
"CHEMBL3138179";"";"None";"635.62";"2";"5.04";"6I";"C[C@H](CCC(=O)Nc1ccc(S(N)(=O)=O)cc1Br)[C@H]1CC[C@H]2[C@@H]3C(=O)C[C@@H]4CC(=O)CC[C@]4(C)[C@H]3CC(=O)[C@]12C";"Ki";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"12.66";"0.27";"3.01";"5.73";"0";"CHEMBL658043";"Inhibitory activity against human recombinant carbonic anhydrase II (CA2)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135136";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2002";"None";"";"";"";"9.0"
"CHEMBL304973";"";"None";"461.29";"0";"0.17";"17e";"Nc1ccc(S(=O)(=O)Nc2nnc(S(N)(=O)=O)s2)cc1I";"Ki";"'='";"0.6";"nM";"9.22";"";"";"UO_0000065";"19.99";"0.60";"9.05";"5.83";"0";"CHEMBL657145";"Inhibition constant (Ki) against human cloned carbonic anhydrase II (CAH)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144995";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";"";"";"0.6"
"CHEMBL168910";"";"None";"222.27";"0";"1.46";"25";"NS(=O)(=O)Nc1ccc2ccccc2c1";"Ki";"'='";"36.0";"nM";"7.44";"";"";"UO_0000065";"33.49";"0.68";"5.98";"10.31";"0";"CHEMBL658045";"Inhibitory activity against human cloned isoenzyme carbonic anhydrase II (hCA II), by esterase method.";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136615";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"36.0"
"CHEMBL4588478";"";"None";"373.43";"0";"2.65";"55";"COc1ccc(OC)c(/C=C/C(=O)/C=C/c2ccc(S(N)(=O)=O)cc2)c1";"Ki";"'='";"0.89";"nM";"9.05";"";"";"UO_0000065";"24.24";"0.48";"6.40";"9.46";"0";"CHEMBL4403471";"Inhibition of human carbonic anhydrase 2 incubated for 15 mins by stopped-flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4402533";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";"";"0.89"
